Wall time,Step,Value
1679963161.624435,2623,2.342480229344801e-06
1679963222.282887,2629,1.77017250280187e-06
1679963232.377058,2630,2.1937039491604082e-06
1679963313.466272,2638,1.5757054825371597e-06
1679963372.961711,2644,2.2634060314885573e-06
1679963433.642413,2650,3.3343003451591358e-06
1679963486.500747,2655,2.69121551355056e-06
1679963718.663759,2678,2.1345911136450013e-06
1679963739.068548,2680,2.174598648707615e-06
1679963789.97679,2685,2.780880095087923e-06
1679963840.221756,2690,2.3085503926267847e-06
1679963972.861396,2703,6.256163032958284e-06
1679964043.688218,2710,3.456149443081813e-06
1679964195.550216,2725,3.3702335713314824e-06
1679964316.768734,2737,3.2099781037686625e-06
1679964347.144592,2740,3.6150304367765784e-06
1679964490.62632,2754,3.1924491850077175e-06
1679964500.53403,2755,2.0866436898359098e-06
1679964519.825239,2757,3.947911409341032e-06
1679964833.157895,2789,2.681430714801536e-06
1679964843.110669,2790,2.9323966828087578e-06
1679964852.799659,2791,3.5507066513673635e-06
1679964921.02059,2798,2.0465042780415388e-06
1679965029.88373,2809,1.5788153859830345e-06
1679965181.555536,2824,2.6146756226808066e-06
1679965212.138364,2827,2.319632585567888e-06
1679965232.361585,2829,3.005163989655557e-06
1679965539.573367,2859,3.78029108105693e-06
1679965670.262803,2872,2.369284402448102e-06
1679965761.505205,2881,2.098095364999608e-06
1679965853.504871,2890,1.9431070086284308e-06
1679965914.51934,2896,1.912653033286915e-06
1679965954.221984,2900,3.007651457664906e-06
1679966131.681421,2917,2.882478838728275e-06
1679966152.552761,2919,2.9973934942972846e-06
1679966162.648251,2920,2.5227971036656527e-06
1679966172.626763,2921,3.679650490084896e-06
1679966286.265294,2932,2.016221515077632e-06
1679966471.995992,2950,2.923443616964505e-06
1679966650.3624,2967,1.9654876268759836e-06
1679966732.655472,2975,3.7899524159001885e-06
1679966969.455923,2998,2.337669911867124e-06
1679967064.543887,3007,3.5057339573540958e-06
1679967084.436205,3009,4.121873189433245e-06
1679967105.374263,3011,3.185690729878843e-06
1679967146.753442,3015,1.6910842077777488e-06
1679967157.348321,3016,1.966795480257133e-06
1679967270.935839,3027,2.2544363673659973e-06
1679967301.542821,3030,2.1690332232537912e-06
1679967384.571456,3038,2.442144023007131e-06
1679967414.962098,3041,3.6092301343160216e-06
1679967506.581247,3050,4.565978088066913e-06
1679967664.433984,3065,3.1417857826454565e-06
1679967705.880629,3069,3.776699031732278e-06
1679967726.824049,3071,4.592082859744551e-06
1679967882.278289,3086,4.551648089545779e-06
1679968017.236955,3099,3.857840056298301e-06
1679968256.870227,3122,2.961084646813106e-06
1679968411.133078,3137,3.1687311548012076e-06
1679968421.251074,3138,4.149842879996868e-06
1679968494.276011,3145,3.090427981078392e-06
1679968545.977888,3150,3.1511412998952437e-06
1679968600.254997,3155,3.1994904929888435e-06
1679968641.15778,3159,2.820226427502348e-06
1679968661.636099,3161,2.4307692001457326e-06
